Feature,Random_Forest_Importance,Logistic_Regression_Coef,Correlation_with_Survival
Fare,0.1897555491277416,0.08277413000784462,0.008762985492447826
Pclass_3,0.15371484642856842,0.8288630978505028,0.01140041667807744
Pclass_1,0.10773447580025886,0.5510833928208453,0.017056533448848485
Age,0.10187256192193277,0.03535982229446562,0.23819712721077563
Sex_Male,0.07985394475581407,0.593194144459267,0.0389879898339836
Fare_Very_High,0.0523176676756056,0.1776447514871288,0.10036491376242178
Family_Size,0.03954292125350651,0.03700499543812106,0.02006890304699745
Pclass_2,0.0384949766653774,0.3285506886049382,0.0051248739937242915
Parch,0.037322990978105354,0.0007705580904870785,0.020754950430404782
SibSp,0.03329791407293513,0.04937727041169828,0.282659931164726
Age_Adult,0.020019467473146434,0.047969669781211734,0.1044264293540259
Embarked_S,0.015987203511361764,0.1274425176937408,0.3292407479274787
Embarked_C,0.015612475359212154,0.09105917240064035,0.004185255229667796
Age_Middle_Age,0.015077519250723044,0.026567085454923336,0.013786153489389646
Fare_High,0.014206842317116811,0.04525454739168664,0.023506422262300018
Embarked_Q,0.012449857746310841,0.08715432886843656,0.017426098476193648
Has_Cabin,0.0115026248308493,0.38838436714872293,0.007021313729819543
Fare_Medium,0.011322363345405461,0.29210096201762437,0.0377187508672439
Age_Child,0.010754920862309374,0.12220553155652668,0.07443450526796301
Is_Alone,0.01029774908832333,0.03133140166037032,0.061608860074708116
Age_Teen,0.010224653419825069,0.07610981430164974,0.08378369594358796
Age_Senior,0.009908657669362613,0.27048891375975026,0.22726389933070343
Fare_Low,0.008727816446208018,0.03709672525699155,0.005688650977655979
